WorkloadId,Status,Instance,Region,Mode,Created,Completed,QPU,Usage (seconds),User,Tags,Account
d557c7onsj9s73b2hh10,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:59:43.416Z,2025-12-23T11:00:34.821Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557brhsmlfc739gfi90,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:58:54.314Z,2025-12-23T10:59:42.199Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557bfhsmlfc739gfhu0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:58:06.570Z,2025-12-23T10:58:53.058Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557b3fp3tbc73ao2qlg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:57:17.915Z,2025-12-23T10:58:05.460Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557anfp3tbc73ao2q9g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:56:29.884Z,2025-12-23T10:57:16.338Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557a39smlfc739gfglg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:55:09.493Z,2025-12-23T10:55:57.606Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5579njht8fs73a0jhk0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:54:22.152Z,2025-12-23T10:55:08.053Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5579b9smlfc739gffug,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:53:34.006Z,2025-12-23T10:54:21.248Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5578v3ht8fs73a0jgtg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:52:45.014Z,2025-12-23T10:53:33.140Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5578gnp3tbc73ao2o8g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:51:46.765Z,2025-12-23T10:52:44.048Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
